idx,imu_Timestamp[sec],mag_Timestamp[sec],baro_Timestamp[sec],accX[m/s^2],accY[m/s^2],accZ[m/s^2],gyroX[deg/s],gyroY[deg/s],gyroZ[deg/s],magX[uT],magY[uT],magZ[uT],orX[deg],orY[deg],orZ[deg],press[hPa],rel_alt[m],moving, temp_left[C],temp_right[C],temp_imu[C],temp_barom[C],
66793,168.131214000,168.118506000,152.011841000,-0.058451723,-0.433837265,10.066337585,0.056050241,-0.046103671,0.037058871,0.125000000,-1.000000000,-3.000000000,-92.407081604,151.101547241,-0.365549088,1032.478271484,6.233325958,0.000000000,31.929998398,32.680000305,32.619998932,32.989997864,
66795,168.136254000,168.138666000,152.011841000,-0.067800306,-0.416153640,10.050867081,0.019969765,0.077396236,0.190521806,0.062500000,-1.000000000,-3.000000000,-92.406288147,151.102218628,-0.365821451,1032.478271484,6.233017921,0.000000000,31.929998398,32.680000305,32.659999847,32.989997864,
66797,168.141294000,168.138666000,152.011841000,-0.065342136,-0.411359966,10.041337967,0.200397000,0.078911789,-0.086150259,0.062500000,-1.000000000,-3.000000000,-92.404510498,151.102050781,-0.365774482,1032.478271484,6.232709885,0.000000000,31.929998398,32.680000305,32.659999847,32.989997864,
66799,168.146334000,168.138666000,152.011841000,-0.053484894,-0.413847715,10.043414116,0.033898871,-0.014788641,-0.118381038,0.062500000,-1.000000000,-3.000000000,-92.403488159,151.101715088,-0.365380049,1032.478271484,6.232401848,0.000000000,31.929998398,32.680000305,32.630001068,32.989997864,
66801,168.151374000,168.138666000,152.011841000,-0.051097225,-0.421023816,10.043414116,0.210824892,0.077494897,-0.054099113,0.062500000,-1.000000000,-3.000000000,-92.402633667,151.101181030,-0.366025478,1032.478271484,6.232093334,0.000000000,31.929998398,32.680000305,32.630001068,32.989997864,
66803,168.156414000,168.158826000,152.011841000,-0.058497597,-0.438715786,10.063650131,0.097367547,-0.169364035,-0.054639392,0.062500000,-1.000000000,-3.000000000,-92.404808044,151.100891113,-0.367900431,1032.478271484,6.231784344,0.000000000,31.929998398,32.680000305,32.590000153,32.989997864,
66805,168.161454000,168.158826000,152.011841000,-0.056215644,-0.431551576,10.077942848,0.154756188,0.075207964,0.070251860,0.062500000,-1.000000000,-3.000000000,-92.410156250,151.100799561,-0.364783227,1032.478271484,6.231475353,0.000000000,31.929998398,32.680000305,32.590000153,32.989997864,
66807,168.166494000,168.158826000,152.011841000,-0.041889600,-0.414802611,10.077942848,-0.053060539,0.043536961,0.098657973,0.062500000,-1.000000000,-3.000000000,-92.406089783,151.101181030,-0.356459618,1032.478271484,6.231166363,0.000000000,31.929998398,32.680000305,32.590000153,32.989997864,
66809,168.171534000,168.158826000,152.011841000,-0.044189181,-0.410007894,10.066033363,0.006868182,-0.078343228,0.068218611,0.062500000,-1.000000000,-3.000000000,-92.404319763,151.101425171,-0.354612023,1032.478271484,6.230857849,0.000000000,31.929998398,32.680000305,32.590000153,32.989997864,
66811,168.176574000,168.178986000,152.011841000,-0.058361296,-0.408338457,10.051149368,0.049207564,0.198130190,-0.024501717,0.125000000,-1.000000000,-3.000000000,-92.403831482,151.101638794,-0.353924721,1032.478271484,6.230549812,0.000000000,31.929998398,32.680000305,32.610000610,32.989997864,
66813,168.181614000,168.178986000,152.011841000,-0.060660873,-0.413112611,10.039237976,0.049572021,-0.107687995,0.006207602,0.125000000,-1.000000000,-3.000000000,-92.403564453,151.101440430,-0.353549063,1032.478271484,6.230241776,0.000000000,31.929998398,32.680000305,32.610000610,32.989997864,
66815,168.186654000,168.178986000,152.011841000,-0.074738912,-0.404904932,10.026455879,0.062263258,-0.043553609,0.128525555,0.125000000,-1.000000000,-3.000000000,-92.396286011,151.101882935,-0.357828259,1032.478271484,6.229933739,0.000000000,31.929998398,32.680000305,32.680000305,32.989997864,
66816,168.189174000,168.178986000,152.011841000,-0.079514258,-0.402513862,10.026455879,0.003607727,-0.074211605,0.065790199,0.125000000,-1.000000000,-3.000000000,-92.398315430,151.102035522,-0.352625251,1032.478271484,6.229778767,0.000000000,31.929998398,32.680000305,32.680000305,32.989997864,
66818,168.194214000,168.199146000,152.011841000,-0.082172222,-0.421035558,10.048177719,0.033000488,-0.045202672,-0.087493591,0.125000000,-1.000000000,-3.000000000,-92.395645142,151.102096558,-0.362869889,1032.478271484,6.229468822,0.000000000,31.929998398,32.680000305,32.630001068,32.989997864,
66820,168.199254000,168.199146000,152.011841000,-0.079890251,-0.428224683,10.062470436,0.060931586,-0.076021075,0.098646685,0.125000000,-1.000000000,-3.000000000,-92.396446228,151.102447510,-0.363261759,1032.478271484,6.229158878,0.000000000,31.929998398,32.680000305,32.630001068,32.989997864,
66822,168.204294000,168.199146000,152.011841000,-0.075183056,-0.426666707,10.068720818,0.025714489,0.107066527,-0.025206933,0.125000000,-1.000000000,-3.000000000,-92.396575928,151.102142334,-0.363577664,1032.478271484,6.228848934,0.000000000,31.929998398,32.680000305,32.619998932,32.989997864,
66824,168.209334000,168.199146000,152.011841000,-0.060804170,-0.426656812,10.061574936,0.055246521,0.015292848,0.006075894,0.125000000,-1.000000000,-3.000000000,-92.397140503,151.101913452,-0.363219947,1032.478271484,6.228538990,0.000000000,31.929998398,32.680000305,32.619998932,32.989997864,
66826,168.214374000,168.219306000,152.011841000,-0.053687014,-0.424356967,10.058886528,-0.022608567,-0.078091152,0.005803887,0.125000000,-1.000000000,-3.000000000,-92.397773743,151.101943970,-0.362319201,1032.478271484,6.228229046,0.000000000,31.929998398,32.680000305,32.590000153,32.989997864,
66828,168.219414000,168.219306000,152.011841000,-0.060867645,-0.424360842,10.061267853,0.035729360,-0.047505192,0.099398360,0.062500000,-1.000000000,-3.000000000,-92.398010254,151.102355957,-0.362154394,1032.478271484,6.227919102,0.000000000,31.929998398,32.680000305,32.590000153,32.989997864,
66830,168.224454000,168.219306000,152.011841000,-0.067931943,-0.421869755,10.056810379,0.024979603,0.015062008,0.067537248,0.062500000,-1.000000000,-3.000000000,-92.397789001,151.102645874,-0.362288445,1032.478271484,6.227609158,0.000000000,31.929998398,32.680000305,32.619998932,32.989997864,
66832,168.229494000,168.219306000,152.011841000,-0.072636805,-0.419469953,10.047282219,0.084605984,-0.045765843,0.037159819,0.062500000,-1.000000000,-3.000000000,-92.397247314,151.102813721,-0.362307221,1032.478271484,6.227299213,0.000000000,31.929998398,32.680000305,32.619998932,32.989997864,
66834,168.234534000,168.239466000,152.011841000,-0.072599225,-0.425076514,10.039237976,0.077775575,-0.076979324,0.099133559,0.062500000,-1.000000000,-3.000000000,-92.397254944,151.103469849,-0.361984491,1032.478271484,6.226989269,0.000000000,31.929998398,32.680000305,32.610000610,32.989997864,
66836,168.239574000,168.239466000,152.011841000,-0.070229180,-0.425078183,10.041622162,0.018622192,-0.046509162,0.067389712,0.125000000,-1.000000000,-3.000000000,-92.403030396,151.103851318,-0.368885696,1032.478271484,6.226678848,0.000000000,31.929998398,32.680000305,32.610000610,32.989997864,
66837,168.242094000,168.239466000,152.011841000,-0.070264421,-0.429866970,10.046385765,0.049728792,0.076405324,-0.117958501,0.125000000,-1.000000000,-3.000000000,-92.399391174,151.103576660,-0.366265386,1032.478271484,6.226523399,0.000000000,31.929998398,32.680000305,32.610000610,32.989997864,
66839,168.247134000,168.239466000,152.011841000,-0.063174225,-0.426655233,10.059192657,0.054043766,-0.015408106,0.098568186,0.125000000,-1.000000000,-3.000000000,-92.399070740,151.103912354,-0.365833402,1032.478271484,6.226212502,0.000000000,31.929998398,32.680000305,32.619998932,32.989997864,
